"No.","Time","Source","Destination","Protocol","Length","Info","frame number","frame length","Frame Time","Frame Time (Epoch)","Frame Protocols","Ethernet Source","Ethernet Destination","Ethernet Type","IP Source","IP Destination","IP Length","IP TTL","IP Flags","IP Fragment Offset","IP Protocol","IP Version","IP DSCP Field","IP Checksum","TCP Source Port","TCP Destination Port","TCP Length","TCP Sequence Number","TCP Acknowledgment Number","TCP Flags","TCP SYN Flag","TCP ACK Flag","TCP FIN Flag","TCP RST Flag","TCP Window Size","TCP Checksum","TCP Stream","UDP Source Port","UDP Destination Port","UDP Length","UDP Checksum","ICMP Type","ICMP Checksum","HTTP Request Method","HTTP Request URI","HTTP Request Version","HTTP Full URI","HTTP Response Code","HTTP User-Agent","HTTP Content-Length","HTTP Content Type","HTTP Cookie","HTTP Host","HTTP Referer","HTTP Location","HTTP Authorization","HTTP Connection","DNS Query Name","DNS Query Type"
"223","13.710115306","192.168.1.108","192.168.1.104","TCP","66","44110  >  80 [ACK] Seq=478 Ack=4345 Win=62592 Len=0 TSval=539925799 TSecr=122115","223","66","Jan 11, 2024 19:29:39.562167767 +03","1704990579.562167767","eth:ethertype:ip:tcp","08:00:27:37:96:63","08:00:27:5d:ef:d9","IPv4","192.168.1.108","192.168.1.104","52","64","0x40","0","TCP","4","0x00","0x6f77","44110","80","0","478","4345","0x010","Not set","Set","Not set","Not set","62592","0xc8ae","16","","","","","","","","","","","","","","","","","","","","","",""
"224","13.710871231","192.168.1.104","192.168.1.108","HTTP","3219","HTTP/1.1 200 OK  (text/html)","224","3219","Jan 11, 2024 19:29:39.562923692 +03","1704990579.562923692","eth:ethertype:ip:tcp:http:data-text-lines","08:00:27:5d:ef:d9","08:00:27:37:96:63","IPv4","192.168.1.104","192.168.1.108","3205","64","0x40","0","TCP","4","0x00","0xf7c2","80","44110","3153","4345","478","0x018","Not set","Set","Not set","Not set","6912","0x909c","16","","","","","","","","","","","200","","6972","text/html","","","","","","close","",""
"225","13.711360412","192.168.1.104","192.168.1.108","TCP","66","80  >  44110 [FIN, ACK] Seq=7498 Ack=478 Win=6912 Len=0 TSval=122115 TSecr=539925799","225","66","Jan 11, 2024 19:29:39.563412873 +03","1704990579.563412873","eth:ethertype:ip:tcp","08:00:27:5d:ef:d9","08:00:27:37:96:63","IPv4","192.168.1.104","192.168.1.108","52","64","0x40","0","TCP","4","0x00","0x0411","80","44110","0","7498","478","0x011","Not set","Set","Set","Not set","6912","0xbdd9","16","","","","","","","","","","","","","","","","","","","","","",""
"226","13.711360600","192.168.1.108","192.168.1.104","TCP","66","44110  >  80 [ACK] Seq=478 Ack=7498 Win=62592 Len=0 TSval=539925801 TSecr=122115","226","66","Jan 11, 2024 19:29:39.563413061 +03","1704990579.563413061","eth:ethertype:ip:tcp","08:00:27:37:96:63","08:00:27:5d:ef:d9","IPv4","192.168.1.108","192.168.1.104","52","64","0x40","0","TCP","4","0x00","0x6f76","44110","80","0","478","7498","0x010","Not set","Set","Not set","Not set","62592","0xbc5b","16","","","","","","","","","","","","","","","","","","","","","",""
"227","13.712105427","192.168.1.108","192.168.1.104","TCP","66","44110  >  80 [FIN, ACK] Seq=478 Ack=7498 Win=64128 Len=0 TSval=539925802 TSecr=122115","227","66","Jan 11, 2024 19:29:39.564157888 +03","1704990579.564157888","eth:ethertype:ip:tcp","08:00:27:37:96:63","08:00:27:5d:ef:d9","IPv4","192.168.1.108","192.168.1.104","52","64","0x40","0","TCP","4","0x00","0x6f75","44110","80","0","478","7498","0x011","Not set","Set","Set","Not set","64128","0xbc4d","16","","","","","","","","","","","","","","","","","","","","","",""
"228","13.712105541","192.168.1.108","192.168.1.104","TCP","66","44110  >  80 [ACK] Seq=479 Ack=7499 Win=64128 Len=0 TSval=539925802 TSecr=122115","228","66","Jan 11, 2024 19:29:39.564158002 +03","1704990579.564158002","eth:ethertype:ip:tcp","08:00:27:37:96:63","08:00:27:5d:ef:d9","IPv4","192.168.1.108","192.168.1.104","52","64","0x40","0","TCP","4","0x00","0x6f74","44110","80","0","479","7499","0x010","Not set","Set","Not set","Not set","64128","0xbc4c","16","","","","","","","","","","","","","","","","","","","","","",""
"229","13.712770698","192.168.1.104","192.168.1.108","TCP","66","80  >  44110 [ACK] Seq=7499 Ack=479 Win=6912 Len=0 TSval=122116 TSecr=539925802","229","66","Jan 11, 2024 19:29:39.564823159 +03","1704990579.564823159","eth:ethertype:ip:tcp","08:00:27:5d:ef:d9","08:00:27:37:96:63","IPv4","192.168.1.104","192.168.1.108","52","64","0x40","0","TCP","4","0x00","0x0410","80","44110","0","7499","479","0x010","Not set","Set","Not set","Not set","6912","0xbdd4","16","","","","","","","","","","","","","","","","","","","","","",""
"230","14.387141011","192.168.1.108","192.168.1.104","TCP","74","44122  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=539926477 TSecr=0 WS=128","230","74","Jan 11, 2024 19:29:40.239193472 +03","1704990580.239193472","eth:ethertype:ip:tcp","08:00:27:37:96:63","08:00:27:5d:ef:d9","IPv4","192.168.1.108","192.168.1.104","60","64","0x40","0","TCP","4","0x00","0xe6b5","44122","80","0","0","0","0x002","Set","Not set","Not set","Not set","64240","0x3697","17","","","","","","","","","","","","","","","","","","","","","",""
"231","14.387732781","192.168.1.104","192.168.1.108","TCP","74","80  >  44122 [SYN, ACK] Seq=0 Ack=1 Win=5792 Len=0 MSS=1460 SACK_PERM=1 TSval=122284 TSecr=539926477 WS=64","231","74","Jan 11, 2024 19:29:40.239785242 +03","1704990580.239785242","eth:ethertype:ip:tcp","08:00:27:5d:ef:d9","08:00:27:37:96:63","IPv4","192.168.1.104","192.168.1.108","60","64","0x40","0","TCP","4","0x00","0xb697","80","44122","0","0","1","0x012","Set","Set","Not set","Not set","5792","0x59f9","17","","","","","","","","","","","","","","","","","","","","","",""
"232","14.388140748","192.168.1.108","192.168.1.104","TCP","66","44122  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=539926478 TSecr=122284","232","66","Jan 11, 2024 19:29:40.240193209 +03","1704990580.240193209","eth:ethertype:ip:tcp","08:00:27:37:96:63","08:00:27:5d:ef:d9","IPv4","192.168.1.108","192.168.1.104","52","64","0x40","0","TCP","4","0x00","0xe6bc","44122","80","0","1","1","0x010","Not set","Set","Not set","Not set","64256","0x9d6d","17","","","","","","","","","","","","","","","","","","","","","",""
"233","14.388140840","192.168.1.108","192.168.1.104","HTTP","528","GET /mutillidae/index.php?page=st4r7s%3CD3V%250aoNmOUSeovER%2B%3D%2Bconfirm%28%29%3Ev3dm0s3nd HTTP/1.1 ","233","528","Jan 11, 2024 19:29:40.240193301 +03","1704990580.240193301","eth:ethertype:ip:tcp:http","08:00:27:37:96:63","08:00:27:5d:ef:d9","IPv4","192.168.1.108","192.168.1.104","514","64","0x40","0","TCP","4","0x00","0xe4ed","44122","80","462","1","1","0x018","Not set","Set","Not set","Not set","64256","0x14c8","17","","","","","","","GET","/mutillidae/index.php?page=st4r7s%3CD3V%250aoNmOUSeovER%2B%3D%2Bconfirm%28%29%3Ev3dm0s3nd","HTTP/1.1","http://192.168.1.104/mutillidae/index.php?page=st4r7s%3CD3V%250aoNmOUSeovER%2B%3D%2Bconfirm%28%29%3Ev3dm0s3nd","","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36 OPR/43.0.2442.991","","","","192.168.1.104","","","","close","",""
"234","14.388667372","192.168.1.104","192.168.1.108","TCP","66","80  >  44122 [ACK] Seq=1 Ack=463 Win=6912 Len=0 TSval=122285 TSecr=539926478","234","66","Jan 11, 2024 19:29:40.240719833 +03","1704990580.240719833","eth:ethertype:ip:tcp","08:00:27:5d:ef:d9","08:00:27:37:96:63","IPv4","192.168.1.104","192.168.1.108","52","64","0x40","0","TCP","4","0x00","0xb4e3","80","44122","0","1","463","0x010","Not set","Set","Not set","Not set","6912","0x9d28","17","","","","","","","","","","","","","","","","","","","","","",""
"235","14.485682914","192.168.1.104","192.168.1.1","DNS","116","Standard query 0xf4b7 AAAA st4r7s<D3V%0aoNmOUSeovER+=+confirm()>v3dm0s3nd.local.lab","235","116","Jan 11, 2024 19:29:40.337735375 +03","1704990580.337735375","eth:ethertype:ip:udp:dns","08:00:27:5d:ef:d9","08:00:27:a6:7e:fb","IPv4","192.168.1.104","192.168.1.1","102","64","0x40","0","UDP","4","0x00","0xd907","","","","","","","","","","","","","","38032","53","82","0x82b6","","","","","","","","","","","","","","","","","st4r7s<D3V%0aoNmOUSeovER+=+confirm()>v3dm0s3nd.local.lab","AAAA (IPv6 Address)"
"236","14.489280308","192.168.1.1","192.168.1.104","DNS","191","Standard query response 0xf4b7 No such name AAAA st4r7s<D3V%0aoNmOUSeovER+=+confirm()>v3dm0s3nd.local.lab SOA a.root-servers.net","236","191","Jan 11, 2024 19:29:40.341332769 +03","1704990580.341332769","eth:ethertype:ip:udp:dns","08:00:27:a6:7e:fb","08:00:27:5d:ef:d9","IPv4","192.168.1.1","192.168.1.104","177","64","0x00","0","UDP","4","0x00","0x1da4","","","","","","","","","","","","","","53","38032","157","0xbbb5","","","","","","","","","","","","","","","","","st4r7s<D3V%0aoNmOUSeovER+=+confirm()>v3dm0s3nd.local.lab","AAAA (IPv6 Address)"
"237","14.490789930","192.168.1.104","192.168.1.1","DNS","116","Standard query 0x7202 A st4r7s<D3V%0aoNmOUSeovER+=+confirm()>v3dm0s3nd.local.lab","237","116","Jan 11, 2024 19:29:40.342842391 +03","1704990580.342842391","eth:ethertype:ip:udp:dns","08:00:27:5d:ef:d9","08:00:27:a6:7e:fb","IPv4","192.168.1.104","192.168.1.1","102","64","0x40","0","UDP","4","0x00","0xd906","","","","","","","","","","","","","","59669","53","82","0xb101","","","","","","","","","","","","","","","","","st4r7s<D3V%0aoNmOUSeovER+=+confirm()>v3dm0s3nd.local.lab","A (Host Address)"
"238","14.498388200","192.168.1.1","192.168.1.104","DNS","191","Standard query response 0x7202 No such name A st4r7s<D3V%0aoNmOUSeovER+=+confirm()>v3dm0s3nd.local.lab SOA a.root-servers.net","238","191","Jan 11, 2024 19:29:40.350440661 +03","1704990580.350440661","eth:ethertype:ip:udp:dns","08:00:27:a6:7e:fb","08:00:27:5d:ef:d9","IPv4","192.168.1.1","192.168.1.104","177","64","0x00","0","UDP","4","0x00","0xaed3","","","","","","","","","","","","","","53","59669","157","0xea00","","","","","","","","","","","","","","","","","st4r7s<D3V%0aoNmOUSeovER+=+confirm()>v3dm0s3nd.local.lab","A (Host Address)"
"239","14.513049039","192.168.1.104","192.168.1.108","TCP","4410","80  >  44122 [ACK] Seq=1 Ack=463 Win=6912 Len=4344 TSval=122316 TSecr=539926478 [TCP segment of a reassembled PDU]","239","4410","Jan 11, 2024 19:29:40.365101500 +03","1704990580.365101500","eth:ethertype:ip:tcp","08:00:27:5d:ef:d9","08:00:27:37:96:63","IPv4","192.168.1.104","192.168.1.108","4396","64","0x40","0","TCP","4","0x00","0xa3ea","80","44122","4344","1","463","0x010","Not set","Set","Not set","Not set","6912","0x9543","17","","","","","","","","","","","","","","","","","","","","","",""
"240","14.515877352","192.168.1.108","192.168.1.104","TCP","66","44122  >  80 [ACK] Seq=463 Ack=4345 Win=62592 Len=0 TSval=539926604 TSecr=122316","240","66","Jan 11, 2024 19:29:40.367929813 +03","1704990580.367929813","eth:ethertype:ip:tcp","08:00:27:37:96:63","08:00:27:5d:ef:d9","IPv4","192.168.1.108","192.168.1.104","52","64","0x40","0","TCP","4","0x00","0xe6ba","44122","80","0","463","4345","0x010","Not set","Set","Not set","Not set","62592","0x8a16","17","","","","","","","","","","","","","","","","","","","","","",""
"241","14.518073233","192.168.1.104","192.168.1.108","HTTP","3208","HTTP/1.1 200 OK  (text/html)","241","3208","Jan 11, 2024 19:29:40.370125694 +03","1704990580.370125694","eth:ethertype:ip:tcp:http:data-text-lines","08:00:27:5d:ef:d9","08:00:27:37:96:63","IPv4","192.168.1.104","192.168.1.108","3194","64","0x40","0","TCP","4","0x00","0xa899","80","44122","3142","4345","463","0x019","Not set","Set","Set","Not set","6912","0x9091","17","","","","","","","","","","","200","","6961","text/html","","","","","","close","",""
"242","14.519049467","192.168.1.108","192.168.1.104","TCP","66","44122  >  80 [ACK] Seq=463 Ack=7488 Win=62592 Len=0 TSval=539926608 TSecr=122317","242","66","Jan 11, 2024 19:29:40.371101928 +03","1704990580.371101928","eth:ethertype:ip:tcp","08:00:27:37:96:63","08:00:27:5d:ef:d9","IPv4","192.168.1.108","192.168.1.104","52","64","0x40","0","TCP","4","0x00","0xe6b9","44122","80","0","463","7488","0x010","Not set","Set","Not set","Not set","62592","0x7dca","17","","","","","","","","","","","","","","","","","","","","","",""
"243","14.519049693","192.168.1.108","192.168.1.104","TCP","66","44122  >  80 [FIN, ACK] Seq=463 Ack=7488 Win=64128 Len=0 TSval=539926609 TSecr=122317","243","66","Jan 11, 2024 19:29:40.371102154 +03","1704990580.371102154","eth:ethertype:ip:tcp","08:00:27:37:96:63","08:00:27:5d:ef:d9","IPv4","192.168.1.108","192.168.1.104","52","64","0x40","0","TCP","4","0x00","0xe6b8","44122","80","0","463","7488","0x011","Not set","Set","Set","Not set","64128","0x7dbc","17","","","","","","","","","","","","","","","","","","","","","",""
